Number,q,T,vi.x,vi.y,objFunc
68,2.000000,1.2637->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.550240,0.547057,-110.605408
68,2.000000,1.2637->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.458406,0.452820,-110.605408
68,2.000000,1.2637->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.528075,0.532891,-110.605408
69,2.000000,1.32425->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.488655,0.509906,-114.272232
69,2.000000,1.32425->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.625305,0.617175,-114.272232
69,2.000000,1.32425->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.422473,0.404836,-114.272232
70,2.000000,1.38771->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.474083,0.458804,-123.887833
70,2.000000,1.38771->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.484407,0.506269,-123.887833
70,2.000000,1.38771->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.571810,0.562079,-123.887833
71,2.000000,1.45422->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.540141,0.541140,-132.142090
71,2.000000,1.45422->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.437345,0.439656,-132.142090
71,2.000000,1.45422->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.560451,0.552056,-132.142090
72,2.000000,1.5239->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.433498,0.442690,-136.219818
72,2.000000,1.5239->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.555734,0.565912,-136.219818
72,2.000000,1.5239->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.539922,0.514078,-136.219818
73,2.000000,1.59693->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.435327,0.434500,-142.168182
73,2.000000,1.59693->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.628022,0.631074,-142.168182
